feature_idx,idx,mlx_val,cpu_val,abs_diff,ulp_diff
2,111,1.1331327,1.09583151,3.730119e-02,312905
2,112,1.1713016,1.1331327,3.816890e-02,320184
2,113,1.21076763,1.1713016,3.946603e-02,331065
2,114,1.2555151,1.21076763,4.474747e-02,375369
2,115,1.30257821,1.2555151,4.706311e-02,394794
2,116,1.35276151,1.30257821,5.018330e-02,420968
2,117,1.40474439,1.35276151,5.198288e-02,436064
2,118,1.45902419,1.40474439,5.427980e-02,455332
2,119,1.51957703,1.45902419,6.055284e-02,507954
2,120,1.5853318,1.51957703,6.575477e-02,551591
2,121,1.66295612,1.5853318,7.762432e-02,651160
2,122,1.74546599,1.66295612,8.250987e-02,692143
2,123,1.84392285,1.74546599,9.845686e-02,825916
2,124,1.96119833,1.84392285,1.172755e-01,983778
2,125,2.13725853,1.96119833,1.760602e-01,901196
2,126,2.4034524,2.13725853,2.661939e-01,1116498
3,0,-2.42904663,-2.42904663,9.999996e-10,0
3,1,-2.15239429,-2.1523943,5.000000e-09,0
3,2,-1.9908098,-1.9908098,2.000000e-09,0
3,3,-1.87081575,-1.87081575,4.000000e-09,0
3,4,-1.77253187,-1.77253187,3.000000e-09,0
3,5,-1.68549657,-1.68549657,1.000000e-09,0
3,6,-1.60712934,-1.64514899,3.801965e-02,318932
3,7,-1.53859389,-1.60712933,6.853544e-02,574917
3,8,-1.48342061,-1.53859389,5.517328e-02,462827
3,9,-1.42416906,-1.48342061,5.925155e-02,497038
3,10,-1.372087,-1.42416906,5.208206e-02,436896
3,11,-1.32276905,-1.372087,4.931795e-02,413709
3,12,-1.27507401,-1.32276905,4.769504e-02,400095
3,13,-1.23030376,-1.27507401,4.477025e-02,375560
3,14,-1.19071054,-1.23030376,3.959322e-02,332132
3,15,-1.15274608,-1.19071054,3.796446e-02,318469
3,16,-1.11621547,-1.15274608,3.653061e-02,306441
3,17,-1.08164752,-1.11621547,3.456795e-02,289977
3,18,-1.04248703,-1.08164752,3.916049e-02,328502
3,19,-1.00968707,-1.04248703,3.279995e-02,275146
3,20,-0.976262927,-1.00968707,3.342414e-02,479503
3,21,-0.943126142,-0.976262927,3.313679e-02,555943
3,22,-0.912825823,-0.943126142,3.030032e-02,508355
3,23,-0.882390738,-0.912825823,3.043508e-02,510616
3,24,-0.854393065,-0.882390737,2.799767e-02,469723
3,25,-0.825681329,-0.854393065,2.871174e-02,481703
3,26,-0.798181713,-0.825681329,2.749962e-02,461367
3,27,-0.773250341,-0.798181713,2.493137e-02,418279
3,28,-0.747872412,-0.773250341,2.537793e-02,425771
3,29,-0.721103311,-0.747872412,2.676910e-02,449111
3,30,-0.695592046,-0.721103311,2.551126e-02,428008
3,31,-0.671009421,-0.695592046,2.458262e-02,412428
3,32,-0.645527601,-0.671009421,2.548182e-02,427514
3,33,-0.622320533,-0.645527601,2.320707e-02,389350
3,34,-0.599347353,-0.622320533,2.297318e-02,385426
3,35,-0.575164914,-0.599347353,2.418244e-02,405714
3,36,-0.553826332,-0.575164914,2.133858e-02,358002
3,37,-0.530536771,-0.553826332,2.328956e-02,390734
3,38,-0.509649992,-0.530536771,2.088678e-02,350422
3,39,-0.486463428,-0.509649992,2.318656e-02,616112
3,40,-0.465450466,-0.486463427,2.101296e-02,705078
3,41,-0.443844974,-0.465450466,2.160549e-02,724960
3,42,-0.421447396,-0.443844974,2.239758e-02,751538
3,43,-0.401098311,-0.421447396,2.034909e-02,682802
3,44,-0.378289342,-0.401098311,2.280897e-02,765342
3,45,-0.356616855,-0.378289342,2.167249e-02,727208
3,46,-0.336093843,-0.356616855,2.052301e-02,688638
3,47,-0.31315127,-0.336093843,2.294257e-02,769825
3,48,-0.292629719,-0.31315127,2.052155e-02,688589
3,49,-0.273080885,-0.292629719,1.954883e-02,655950
3,50,-0.252639025,-0.273080885,2.044186e-02,685915
3,51,-0.233313456,-0.252639025,1.932557e-02,1208366
3,52,-0.212438807,-0.233313456,2.087465e-02,1400874
3,53,-0.193081588,-0.212438807,1.935722e-02,1299041
3,54,-0.174324602,-0.193081588,1.875699e-02,1258760
3,55,-0.154520243,-0.174324602,1.980436e-02,1329048
3,56,-0.135617197,-0.154520243,1.890305e-02,1268562
3,57,-0.114158034,-0.135617197,2.145916e-02,2167692
3,58,-0.0929967463,-0.114158034,2.116129e-02,2840220
3,59,-0.073822245,-0.0929967463,1.917450e-02,2573558
3,60,-0.0536674112,-0.073822245,2.015483e-02,3890626
3,61,-0.0342236534,-0.0536674112,1.944376e-02,5219394
3,62,-0.0150835244,-0.0342236534,1.914013e-02,9768247
3,63,0.00357307447,-0.0150835244,1.865660e-02,2283713759
3,64,0.0218410511,0.00357307447,1.826798e-02,21545411
3,65,0.0407561697,0.0218410511,1.891512e-02,7603184
3,66,0.0613440797,0.0407561697,2.058791e-02,5526525
3,67,0.0807375535,0.0613440797,1.939347e-02,2758093
3,68,0.101690851,0.0807375535,2.095330e-02,2812304
3,69,0.122958422,0.101690851,2.126757e-02,2854485
3,70,0.143225551,0.122958422,2.026713e-02,1497112
3,71,0.16312474,0.143225551,1.989919e-02,1335412
3,72,0.182883054,0.16312474,1.975831e-02,1325958
3,73,0.204636037,0.182883054,2.175298e-02,1459818
3,74,0.224534288,0.204636037,1.989825e-02,1335349
3,75,0.243266404,0.224534288,1.873212e-02,1257091
3,76,0.26403591,0.243266404,2.076951e-02,922851
3,77,0.283927828,0.26403591,1.989192e-02,667462
3,78,0.303516567,0.283927828,1.958874e-02,657289
3,79,0.323796868,0.303516567,2.028030e-02,680494
3,80,0.343425751,0.323796868,1.962888e-02,658636
3,81,0.364077091,0.343425751,2.065134e-02,692944
3,82,0.382136494,0.364077091,1.805940e-02,605973
3,83,0.404606462,0.382136494,2.246997e-02,753967
3,84,0.426066905,0.404606462,2.146044e-02,720093
3,85,0.449946016,0.426066905,2.387911e-02,801250
3,86,0.471573591,0.449946016,2.162757e-02,725701
3,87,0.493888497,0.471573591,2.231491e-02,748764
3,88,0.515456915,0.493888497,2.156842e-02,464392
3,89,0.538502693,0.515456915,2.304578e-02,386644
3,90,0.560777783,0.538502693,2.227509e-02,373714
3,91,0.582656264,0.560777783,2.187848e-02,367060
3,92,0.605833352,0.582656264,2.317709e-02,388847
3,93,0.627694964,0.605833352,2.186161e-02,366777
3,94,0.651361167,0.627694964,2.366620e-02,397053
3,95,0.676078677,0.651361167,2.471751e-02,414691
3,96,0.69972527,0.676078677,2.364659e-02,396724
3,97,0.723583341,0.69972527,2.385807e-02,400272
3,98,0.750603914,0.723583341,2.702057e-02,453330
3,99,0.776932597,0.750603914,2.632868e-02,441722
3,100,0.804754496,0.776932597,2.782190e-02,466774
3,101,0.829636455,0.804754496,2.488196e-02,417450
3,102,0.858627915,0.829636455,2.899146e-02,486396
3,103,0.888944328,0.858627915,3.031641e-02,508625
3,104,0.920057178,0.888944328,3.111285e-02,521987
3,105,0.950255036,0.920057178,3.019786e-02,506636
