featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,68,1,-62.97949219,-9674.442383,3515,23048,0,4061.46477716671,4060.93537825188,4061.46477716671,4060.93537825188,0.000000e+00,0.000000e+00
0,69,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,69,1,-82.36914062,-9655.052734,3906,22657,0,4115.59458276565,4115.04860920303,4115.59458276565,4115.04860920303,9.094947e-13,0.000000e+00
0,70,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,70,1,-103.7128906,-9633.708984,4297,22266,0,4170.10437164218,4169.54118187402,4170.10437164218,4169.54118187402,-9.094947e-13,9.094947e-13
0,71,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,71,1,-129.4941406,-9607.927734,4688,21875,0,4222.9857286602,4222.40485984355,4222.9857286602,4222.40485984355,0.000000e+00,0.000000e+00
0,72,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,72,1,-152.2275391,-9585.194336,5078,21485,0,4280.24721134601,4279.64757792575,4280.24721134601,4279.64757792574,0.000000e+00,-9.094947e-13
0,73,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,73,1,-187.8916016,-9549.530273,5469,21094,0,4329.03437593863,4328.41616624688,4329.03437593863,4328.41616624688,0.000000e+00,0.000000e+00
0,74,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,74,1,-223.8154297,-9513.606445,5859,20704,0,4379.46867929382,4378.83105299659,4379.46867929382,4378.83105299659,0.000000e+00,9.094947e-13
0,75,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,75,1,-261.1005859,-9476.321289,6250,20313,0,4431.09671980979,4430.43877289403,4431.09671980979,4430.43877289403,0.000000e+00,-9.094947e-13
0,76,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,76,1,-296.8232422,-9440.598633,6640,19923,0,4486.05715492849,4485.37775466626,4486.05715492849,4485.37775466627,0.000000e+00,9.094947e-13
0,77,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,77,1,-344.2158203,-9393.206055,7031,19532,0,4533.47213597881,4532.77133095993,4533.47213597881,4532.77133095993,9.094947e-13,-9.094947e-13
0,78,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,78,1,-405.2089844,-9332.212891,7422,19141,0,4571.33004402207,4570.60821486163,4571.33004402207,4570.60821486163,0.000000e+00,0.000000e+00
0,79,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,79,1,-463.2753906,-9274.146484,7813,18750,0,4613.91470922237,4613.17045403896,4613.91470922237,4613.17045403896,9.094947e-13,0.000000e+00
0,80,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,80,1,-521.4921875,-9215.929688,8203,18360,0,4658.38512632264,4657.61737508077,4658.38512632264,4657.61737508077,-9.094947e-13,0.000000e+00
0,81,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,81,1,-590.7197266,-9146.702148,8594,17969,0,4695.7288327734,4694.93760334133,4695.7288327734,4694.93760334133,9.094947e-13,9.094947e-13
0,82,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,82,1,-656.34375,-9081.078125,8984,17579,0,4738.29847769647,4737.48216405997,4738.29847769647,4737.48216405997,9.094947e-13,0.000000e+00
0,83,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,83,1,-742.1933594,-8995.228516,9375,17188,0,4765.51172353636,4764.67155459945,4765.51172353636,4764.67155459945,0.000000e+00,0.000000e+00
0,84,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,84,1,-820.1777344,-8917.244141,9765,16798,0,4801.75437328994,4800.8881143536,4801.75437328994,4800.8881143536,0.000000e+00,0.000000e+00
0,85,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,85,1,-908.1884766,-8829.233398,10156,16407,0,4831.66883717172,4830.77640093671,4831.66883717172,4830.77640093671,0.000000e+00,9.094947e-13
0,86,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,86,1,-995.6181641,-8741.803711,10547,16016,0,4864.48862227726,4863.56849081212,4864.48862227726,4863.56849081212,0.000000e+00,-9.094947e-13
0,87,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,87,1,-1081.014648,-8656.407227,10938,15625,0,4901.62468358837,4900.67496892276,4901.62468358837,4900.67496892276,0.000000e+00,0.000000e+00
0,88,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,88,1,-1172.717773,-8564.704102,11328,15235,0,4935.26867164465,4934.2887953107,4935.26867164465,4934.2887953107,0.000000e+00,0.000000e+00
0,89,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,89,1,-1271.320312,-8466.101562,11719,14844,0,4965.44843596772,4964.43768494073,4965.44843596772,4964.43768494073,0.000000e+00,0.000000e+00
0,90,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,90,1,-1362.744141,-8374.677734,12109,14454,0,5004.62376123428,5003.57908205875,5004.62376123428,5003.57908205875,0.000000e+00,0.000000e+00
0,91,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,91,1,-1473.462891,-8263.958984,12500,14063,0,5028.82975276958,5027.75257292989,5028.82975276958,5027.7525729299,0.000000e+00,9.094947e-13
0,92,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,92,1,-1583.757324,-8153.664551,12890,13673,0,5055.78112985356,5054.66948988772,5055.78112985356,5054.66948988772,0.000000e+00,0.000000e+00
0,93,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,93,1,-1711.753418,-8025.668457,13281,13282,0,5069.00071657649,5067.85603822022,5069.00071657649,5067.85603822022,0.000000e+00,0.000000e+00
0,94,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
